Order ID,Customer ID,Customer Name,Customer Email,Customer Phone,Order Date,Order Status,Subtotal (inc tax),Subtotal (ex tax),Tax Total,Shipping Cost (inc tax),Shipping Cost (ex tax),Ship Method,Handling Cost (inc tax),Handling Cost (ex tax),Order Total (inc tax),Order Total (ex tax),Payment Method,Total Quantity,Total Shipped,Date Shipped,Order Currency Code,Exchange Rate,Order Notes,Customer Message,Billing First Name,Billing Last Name,Billing Company,Billing Street 1,Billing Street 2,Billing Suburb,Billing State,Billing Zip,Billing Country,Billing Phone,Billing Email,Shipping First Name,Shipping Last Name,Shipping Company,Shipping Street 1,Shipping Street 2,Shipping Suburb,Shipping State,Shipping Zip,Shipping Country,Shipping Phone,Shipping Email,Product Details,Store Credit Redeemed,Gift Certificate Amount Redeemed,Gift Certificate Code,Gift Certificate Expiration Date,Coupon Details,Refund Amount
5517,2343,Eleven Eleven,eleven@cox.net,5111111111,12/01/2019,Shipped,29.98,29.98,0,6.99,6.99,Shipping,0,0,36.97,36.97,Authorize.net,2,0,16/01/2019,USD,1,3.17,,Eleven,Eleven,,11 Eleven Rd,,Norfolk,VA,23505,United States,5111111111,eleven@cox.net,Eleven,Eleven,,11 Eleven Rd,,Norfolk,VA,23505,United States,5111111111,eleven@cox.net,"Product ID: 131, Product Qty: 1, Product SKU: BK_VegMenu, Product Name: Oldways 4-Week Vegetarian & Vegan Diet Menu Plan Book, Product Weight: 0.8000, Product Variation Details: , Product Unit Price: 14.99, Product Total Price: 14.99|Product ID: 148, Product Qty: 1, Product SKU: BK_WHOLEGRAINS, Product Name: Whole Grains Around the World, Product Weight: 0.5000, Product Variation Details: , Product Unit Price: 14.99, Product Total Price: 14.99",0,0,,,,0
5518,4234,Twelve Twelve,twelve@gmail.com,1212121212,12/01/2019,Completed,14.99,14.99,0,0,0,,,,14.99,14.99,Authorize.net,1,0,,USD,1,,,Twelve,Twelve,,12 Twelve Avenue,,Leavenworth,WA,98826,United States,1212121212,twelve@gmail.com,Twelve,Twelve,,12 Twelve Avenue,,,,,,1212121212,twelve@gmail.com,"Product ID: 140, Product Qty: 1, Product SKU: BK_EMedMenu, Product Name: Oldways 4-Week Mediterranean Diet Menu Plan E-Book, Product Weight: 0.0000, Product Variation Details: , Product Unit Price: 14.99, Product Total Price: 14.99",0,0,,,,0
5519,4235,Thirteen Thirteen,thirteen@att.net,1313131313,12/01/2019,Shipped,3.99,3.99,0,3.99,3.99,Shipping,0,0,7.98,7.98,Authorize.net,1,0,16/01/2019,USD,1,2.66,,Thirteen,Thirteen,,13 Thirteen Ln,,Redding,CA,96002,United States,1313131313,thirteen@att.net,Thirteen,Thirteen,,13 Thirteen Ln,,Redding,CA,96002,United States,1313131313,thirteen@att.net,"Product ID: 121, Product Qty: 1, Product SKU: CARD_MedPyr, Product Name: Mediterranean Diet Pyramid Card, Product Weight: 1.0000, Product Variation Details: , Product Unit Price: 3.99, Product Total Price: 3.99",0,0,,,,0
5521,4236,Fourteen Fourteen,fourteen@yahoo.com,1414141414,13/01/2019,Shipped,14.99,14.99,0,3.99,3.99,Shipping,0,0,18.98,18.98,Authorize.net,1,0,16/01/2019,USD,1,2.66,,Fourteen,Fourteen,,14 Fourteen Road,,San Diego,CA,92109,United States,1414141414,fourteen@yahoo.com,Fourteen,Fourteen,,14 Fourteen Road,,San Diego,CA,92109,United States,1414141414,fourteen@yahoo.com,"Product ID: 127, Product Qty: 1, Product SKU: BK_MedMenu, Product Name: Oldways 4-Week Mediterranean Diet Menu Plan Book, Product Weight: 0.8000, Product Variation Details: , Product Unit Price: 14.99, Product Total Price: 14.99",0,0,,,,0
5523,4238,Fifteen Fifteen,fifteen@gmail.com,1515151515,13/01/2019,Completed,14.99,14.99,0,0,0,,,,14.99,14.99,Authorize.net,1,0,,USD,1,,,Fifteen,Fifteen,,15 Fifteen St,,Brooklyn,NY,11232,United States,1515151515,fifteen@gmail.com,Fifteen,Fifteen,,15 Fifteen St,,,,,,1515151515,fifteen@gmail.com,"Product ID: 140, Product Qty: 1, Product SKU: BK_EMedMenu, Product Name: Oldways 4-Week Mediterranean Diet Menu Plan E-Book, Product Weight: 0.0000, Product Variation Details: , Product Unit Price: 14.99, Product Total Price: 14.99",0,0,,,,0
5525,4239,Sixteen Sixteen,sixteen@gmail.com,1616161616,13/01/2019,Shipped,37.97,37.97,0,6.99,6.99,Shipping,0,0,44.96,44.96,Authorize.net,3,0,16/01/2019,USD,1,3.68,,Sixteen,Sixteen,,16 Sixteen St,,TUCSON,AZ,85748,United States,1616161616,sixteen@gmail.com,Sixteen,Sixteen,,16 Sixteen St,,TUCSON,AZ,85748,United States,1616161616,sixteen@gmail.com,"Product ID: 124, Product Qty: 1, Product SKU: OTH_MedGrocList, Product Name: Mediterranean Diet Grocery List Pad, Product Weight: 1.0000, Product Variation Details: , Product Unit Price: 7.99, Product Total Price: 7.99|Product ID: 127, Product Qty: 1, Product SKU: BK_MedMenu, Product Name: Oldways 4-Week Mediterranean Diet Menu Plan Book, Product Weight: 0.8000, Product Variation Details: , Product Unit Price: 14.99, Product Total Price: 14.99|Product ID: 146, Product Qty: 1, Product SKU: BK_12WAYS, Product Name: 12 Ways To Use Vegetables, Product Weight: 0.7000, Product Variation Details: , Product Unit Price: 14.99, Product Total Price: 14.99",0,0,,,,0
5526,4240,Seventeen Seventeen,seventeen@cox.net,1717171717,13/01/2019,Shipped,14.99,14.99,0,3.99,3.99,Shipping,0,0,18.98,18.98,Authorize.net,1,0,16/01/2019,USD,1,2.66,,Seventeen,Seventeen,,17 Seventeen Road,,Topeka,KS,66606,United States,1717171717,seventeen@cox.net,Seventeen,Seventeen,,17 Seventeen Road,,Topeka,KS,66606,United States,1717171717,seventeen@cox.net,"Product ID: 127, Product Qty: 1, Product SKU: BK_MedMenu, Product Name: Oldways 4-Week Mediterranean Diet Menu Plan Book, Product Weight: 0.8000, Product Variation Details: , Product Unit Price: 14.99, Product Total Price: 14.99",0,0,,,,0
5527,4241,Eighteen Eighteen,eighteen@comcast.net,1818181818,13/01/2019,Shipped,14.99,14.99,0,3.99,3.99,Shipping,0,0,18.98,18.98,Authorize.net,1,0,16/01/2019,USD,1,2.66,,Eighteen,Eighteen,,18 Eighteen Rd,,Brentwood,TN,37027,United States,1818181818,eighteen@comcast.net,Eighteen,Eighteen,,18 Eighteen Rd,,Brentwood,TN,37027,United States,1818181818,eighteen@comcast.net,"Product ID: 127, Product Qty: 1, Product SKU: BK_MedMenu, Product Name: Oldways 4-Week Mediterranean Diet Menu Plan Book, Product Weight: 0.8000, Product Variation Details: , Product Unit Price: 14.99, Product Total Price: 14.99",0,0,,,,0
5528,4242,Nineteen Nineteen,nineteen@gmail.com,1919191919,13/01/2019,Completed,14.99,14.99,0,0,0,,,,14.99,14.99,Authorize.net,1,0,,USD,1,,,Nineteen,Nineteen,,19 Nineteen Court,,Agoura Hills,CA,91301,United States,1919191919,nineteen@gmail.com,Nineteen,Nineteen,,19 Nineteen Court,,,,,,1919191919,nineteen@gmail.com,"Product ID: 140, Product Qty: 1, Product SKU: BK_EMedMenu, Product Name: Oldways 4-Week Mediterranean Diet Menu Plan E-Book, Product Weight: 0.0000, Product Variation Details: , Product Unit Price: 14.99, Product Total Price: 14.99",0,0,,,,0
5530,4243,Twenty Twenty,twenty@gmail.com,2020202020,13/01/2019,Shipped,28.97,28.97,0,6.99,6.99,Shipping,0,0,35.96,35.96,Authorize.net,3,0,16/01/2019,USD,1,2.66,,Twenty,Twenty,,20 Twenty Rd.,,Saint Charles,IL,60174,United States,2020202020,twenty@gmail.com,Twenty,Twenty,,20 Twenty Rd.,,Saint Charles,IL,60174,United States,2020202020,twenty@gmail.com,"Product ID: 121, Product Qty: 1, Product SKU: CARD_MedPyr, Product Name: Mediterranean Diet Pyramid Card, Product Weight: 1.0000, Product Variation Details: , Product Unit Price: 3.99, Product Total Price: 3.99|Product ID: 125, Product Qty: 1, Product SKU: OTH_MedMagnet, Product Name: Mediterranean Diet Pyramid Refrigerator Magnet, Product Weight: 1.0000, Product Variation Details: , Product Unit Price: 4.99, Product Total Price: 4.99|Product ID: 136, Product Qty: 1, Product SKU: BU_MedBundle, Product Name: Mediterranean Diet Discount Bundle, Product Weight: 1.0000, Product Variation Details: , Product Unit Price: 19.99, Product Total Price: 19.99",0,0,,,,0
4787,3630,Customer One,customer@one.com,21212121212,05/10/2018,Shipped,84.96,84.96,0,9.99,9.99,Shipping,0,0,94.95,94.95,Authorize.net,4,3,10/10/2018,USD,1,"4.45
Tracking No.
3.68
Tracking No.",,Customer,One,,1 First St,,Los Angeles,CA,90044,United States,21212121212,customer@one.com,Customer,One,,1 First St,,Los Angeles,CA,90044,,21212121212,customer@one.com,"Product ID: 107, Product Qty: 1, Product SKU: POS_LatPyr, Product Name: Latin American Diet Pyramid Poster, Product Weight: 0.5000, Product Variation Details: , Product Unit Price: 19.99, Product Total Price: 19.99|Product ID: 112, Product Qty: 1, Product SKU: BRO_Afr, Product Name: Welcome to the African Heritage Diet Trifold Brochure (100 pcs), Product Weight: 1.0000, Product Variation Details: , Product Unit Price: 29.99, Product Total Price: 29.99|Product ID: 129, Product Qty: 1, Product SKU: POS_AfrPyr, Product Name: African Heritage Diet Pyramid Poster, Product Weight: 1.0000, Product Variation Details: , Product Unit Price: 19.99, Product Total Price: 19.99|Product ID: 145, Product Qty: 1, Product SKU: BK_E12WAYS, Product Name: 12 Ways To Use Vegetables E-Book, Product Weight: 0.0000, Product Variation Details: , Product Unit Price: 14.99, Product Total Price: 14.99",0,0,,,,0
4789,3632,Customer Two,Customer@two.com,3131313131,05/10/2018,Shipped,23.97,23.97,0,6.99,6.99,Shipping,0,0,30.96,30.96,Authorize.net,3,0,10/10/2018,USD,1,"2.66
Tracking No.",,Customer,Two,,2 Second St,,Indianapolis,IN,46268,United States,3131313131,Customer@two.com,Customer,Two,,2 Second St,,Indianapolis,IN,46268,,3131313131,Customer@two.com,"Product ID: 121, Product Qty: 1, Product SKU: CARD_MedPyr, Product Name: Mediterranean Diet Pyramid Card, Product Weight: 1.0000, Product Variation Details: , Product Unit Price: 3.99, Product Total Price: 3.99|Product ID: 125, Product Qty: 1, Product SKU: OTH_MedMagnet, Product Name: Mediterranean Diet Pyramid Refrigerator Magnet, Product Weight: 1.0000, Product Variation Details: , Product Unit Price: 4.99, Product Total Price: 4.99|Product ID: 127, Product Qty: 1, Product SKU: BK_MedMenu, Product Name: Oldways 4-Week Mediterranean Diet Menu Plan Book, Product Weight: 0.8000, Product Variation Details: , Product Unit Price: 14.99, Product Total Price: 14.99",0,0,,,,0
5568,4273,Customer Three,customer@three.com,41414141414,16/01/2019,,18.98,18.98,0,3.99,3.99,Shipping,0,0,22.97,22.97,Authorize.net,2,0,,USD,1,,,Customer,Three,,3 Third Ave,,Hanford,CA,93230,United States,41414141414,customer@three.com,Customer,Three,,3 Third Ave,,Hanford,CA,93230,,41414141414,customer@three.com,"Product ID: 121, Product Qty: 1, Product SKU: CARD_MedPyr, Product Name: Mediterranean Diet Pyramid Card, Product Weight: 1.0000, Product Variation Details: , Product Unit Price: 3.99, Product Total Price: 3.99|Product ID: 127, Product Qty: 1, Product SKU: BK_MedMenu, Product Name: Oldways 4-Week Mediterranean Diet Menu Plan Book, Product Weight: 0.8000, Product Variation Details: , Product Unit Price: 14.99, Product Total Price: 14.99",0,0,,,,0
